Financial Year,Lot No.,Location,Disposal Type,User,Premium,Site Area (sm),District Council,Award Date,Remarks
2005/2006,KOWLOON INLAND LOT NO. 11167,JUNCTION OF HOI WANG ROAD AND HOI TING ROAD WEST KOWLOON RECLAMATION AREA,AUCTION,RESIDENTIAL R1,2730,6179,YAU TSIM MONG,27-Sep-05,N.A.
2005/2006,INLAND LOT NO. 8994,NO. 892 KING'S ROAD QUARRY BAY HONG KONG,TENDER,PETROL FILLING STATION,358.66,570.5,EASTERN,3-Jun-05,A single amount of tender premium for the purchase of [INLAND LOT NO. 9008] [INLAND LOT NO. 8994] [KOWLOON INLAND LOT NO. 11177] and [TUNG CHUNG TOWN LOT NO. 29] collectively as one package.
2005/2006,TUNG CHUNG TOWN LOT NO. 29,TUNG CHUNG NEW TOWN AREA 58 TUNG CHUNG,TENDER,PETROL FILLING STATION,358.66,1352.4,ISLANDS,3-Jun-05,A single amount of tender premium for the purchase of [INLAND LOT NO. 9008] [INLAND LOT NO. 8994] [KOWLOON INLAND LOT NO. 11177] and [TUNG CHUNG TOWN LOT NO. 29] collectively as one package.
2004/2005,KOWLOON INLAND LOT NO. 11124,SHEUNG SHING STREET HOMANTIN KOWLOON,AUCTION,RESIDENTIAL R1,9420,17756,KOWLOON CITY,12-Oct-04,N.A.
2004/2005,NEW KOWLOON INLAND LOT NO. 6310,JUNCTION OF SHEUNG YUET ROAD AND WANG CHIU ROAD KOWLOON,AUCTION,NON RESIDENTIAL,1820,4715,KWUN TONG,22-Feb-05,N.A.
2004/2005,NEW KOWLOON INLAND LOT NO. 6308,JUNCTION OF KING FUK STREET KING TAI STREET AND PRINCE EDWARD ROAD EAST SAN PO KONG KOWLOON,AUCTION,RESIDENTIAL R1,4700,12701,WONG TAI SIN,12-Oct-04,N.A.
2004/2005,NEW KOWLOON INLAND LOT NO. 6330,SA PO ROAD KOWLOON,AUCTION,RESIDENTIAL R1,1010,3521,WONG TAI SIN,15-Jun-04,N.A.
2004/2005,SHA TIN TOWN LOT NO. 510,TUNG LO WAN HILL ROAD SHA TIN NEW TERRITORIES,AUCTION,RESIDENTIAL R2,865,10626,SHA TIN,25-May-04,N.A.
2004/2005,SHA TIN TOWN LOT NO. 487,AREA 77 MA ON SHAN SHA TIN NEW TERRITORIES,AUCTION,RESIDENTIAL R2,2090,14006,SHA TIN,25-May-04,N.A.
2004/2005,INLAND LOT NO. 8985,137 TAI HANG ROAD JARDINE’S LOOKOUT HONG KONG,TENDER,PETROL FILLING STATION,501,917,WAN CHAI,8-May-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8985] [INLAND LOT NO. 8986] [TUNG CHUNG TOWN LOT NO. 24] [TSEUNG KWAN O TOWN LOT NO. 89] and [TSUEN WAN TOWN LOT NO. 408] collectively as one package.
2004/2005,INLAND LOT NO. 8986,80 POK FU LAM ROAD HONG KONG,TENDER,PETROL FILLING STATION,501,742,CENTRAL & WESTERN,8-May-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8985] [INLAND LOT NO. 8986] [TUNG CHUNG TOWN LOT NO. 24] [TSEUNG KWAN O TOWN LOT NO. 89] and [TSUEN WAN TOWN LOT NO. 408] collectively as one package.
2004/2005,TSUEN WAN TOWN LOT NO. 408,YEUNG UK ROAD TSUEN WAN NEW TERRITORIES,TENDER,PETROL FILLING STATION,501,832.5,TSUEN WAN,8-May-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8985] [INLAND LOT NO. 8986] [TUNG CHUNG TOWN LOT NO. 24] [TSEUNG KWAN O TOWN LOT NO. 89] and [TSUEN WAN TOWN LOT NO. 408] collectively as one package.
2004/2005,TSEUNG KWAN O TOWN LOT NO. 89,PO HONG ROAD TSEUNG KWAN O SAI KUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,501,3349,SAI KUNG,8-May-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8985] [INLAND LOT NO. 8986] [TUNG CHUNG TOWN LOT NO. 24] [TSEUNG KWAN O TOWN LOT NO. 89] and [TSUEN WAN TOWN LOT NO. 408] collectively as one package.
2004/2005,TUNG CHUNG TOWN LOT NO. 24,TUNG CHUNG NEW TOWN AREA 26 LANTAU ISLAND,TENDER,PETROL FILLING STATION,501,1125,ISLANDS,8-May-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8985] [INLAND LOT NO. 8986] [TUNG CHUNG TOWN LOT NO. 24] [TSEUNG KWAN O TOWN LOT NO. 89] and [TSUEN WAN TOWN LOT NO. 408] collectively as one package.
2003/2004,CHAI WAN INLAND LOT NO. 171,JUNCTION OF SHEUNG MAU STREET SHEUNG ON STREET AND SHING TAI ROAD CHAI WAN HONG KONG,TENDER,PETROL FILLING STATION,64.038,3960,EASTERN,4-Sep-03,N.A.
2003/2004,NEW KOWLOON INLAND LOT NO. 6409,CORNWALL STREET KOWLOON TONG KOWLOON,TENDER,PETROL FILLING STATION,45.5,1025.4,SHAM SHUI PO,4-Sep-03,N.A.
2003/2004,NEW KOWLOON INLAND LOT NO. 6417,WANG CHIN STREET KOWLOON BAY KOWLOON,TENDER,PETROL FILLING STATION,303.86,1423.3,KWUN TONG,29-Jan-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8984] [INLAND LOT NO. 8988] [NEW KOWLOON INLAND LOT NO. 6417] [TAI PO TOWN LOT NO. 151] and [TUNG CHUNG TOWN LOT NO. 9] collectively as one package.
2003/2004,TSING YI TOWN LOT NO. 170,TSING YI ROAD WEST TSING YI NEW TERRITORIES,TENDER,PETROL FILLING STATION,40.638,1991.4,KWAI TSING,4-Sep-03,N.A.
2003/2004,SHA TIN TOWN LOT NO. 484,AREA 86B MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,PETROL FILLING STATION,84.318,1067.9,SHA TIN,4-Sep-03,N.A.
2003/2004,KOWLOON INLAND LOT NO. 11161,SALISBURY ROAD TSIM SHA TSUI KOWLOON,TENDER,COMMERCIAL,352.8,12289,YAU TSIM MONG,26-May-03,N.A.
2003/2004,INLAND LOT NO. 8988,KENNEDY ROAD WAN CHAI HONG KONG,TENDER,PETROL FILLING STATION,303.86,837.2,WAN CHAI,29-Jan-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8984] [INLAND LOT NO. 8988] [NEW KOWLOON INLAND LOT NO. 6417] [TAI PO TOWN LOT NO. 151] and [TUNG CHUNG TOWN LOT NO. 9] collectively as one package.
2003/2004,LOT NO. 686 IN MA WAN,SOUTH OF MA WAN ISLAND NEW TERRITORIES,TENDER,RECREATIONAL (THEME PARK),---------,---------,TSUEN WAN,---------,TENDER WITHDRAWN ON 11 JULY 2003
2003/2004,TUNG CHUNG TOWN LOT NO. 9,TUNG CHUNG NEW TOWN AREA 58 LANTAU ISLAND,TENDER,PETROL FILLING STATION,303.86,1237.9,ISLANDS,29-Jan-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8984] [INLAND LOT NO. 8988] [NEW KOWLOON INLAND LOT NO. 6417] [TAI PO TOWN LOT NO. 151] and [TUNG CHUNG TOWN LOT NO. 9] collectively as one package.
2003/2004,TAI PO TOWN LOT NO. 151,TAI PO KAU TAI PO NEW TERRITORIES,TENDER,PETROL FILLING STATION,303.86,3167,TAI PO,29-Jan-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8984] [INLAND LOT NO. 8988] [NEW KOWLOON INLAND LOT NO. 6417] [TAI PO TOWN LOT NO. 151] and [TUNG CHUNG TOWN LOT NO. 9] collectively as one package.
2003/2004,INLAND LOT NO. 8984,MACDONNELL ROAD HONG KONG,TENDER,PETROL FILLING STATION,303.86,236.8,CENTRAL & WESTERN,29-Jan-04,A single amount of tender premium for the purchase of [INLAND LOT NO. 8984] [INLAND LOT NO. 8988] [NEW KOWLOON INLAND LOT NO. 6417] [TAI PO TOWN LOT NO. 151] and [TUNG CHUNG TOWN LOT NO. 9] collectively as one package.
2002/2003,INLAND LOT NO. 8930,NO. 632 KING'S ROAD NORTH POINT HONG KONG,AUCTION,RESIDENTIAL R1,310,1400.4,EASTERN,17-Jun-02,N.A.
2002/2003,NEW KOWLOON INLAND LOT NO. 6418,SA PO ROAD KOWLOON,AUCTION,RESIDENTIAL R1,290,2305,WONG TAI SIN,10-Sep-02,N.A.
2002/2003,SHA TIN TOWN LOT NO. 499,KONG PUI STREET AREA 5B SHA TIN NEW TERRITORIES,AUCTION,RESIDENTIAL R1,112,1358.8,SHA TIN,17-Jun-02,N.A.
2002/2003,RURAL BUILDING LOT NO. 1164,CAPE ROAD CHUNG HOM KOK HONG KONG,AUCTION,RESIDENTIAL R3,100,3720,SOUTHERN,15-Apr-02,N.A.
2002/2003,SHA TIN TOWN LOT NO. 526,No. 2 LOK KWAI PATH AREA 43 SHA TIN NEW TERRITORIES,AUCTION,RESIDENTIAL R3,660,19300,SHA TIN,15-Apr-02,N.A.
2002/2003,KOWLOON INLAND LOT NO. 11158,HOI FAI ROAD WEST KOWLOON RECLAMATION KOWLOON,AUCTION,RESIDENTIAL R1,1640,10450,YAU TSIM MONG,15-Apr-02,N.A.
2002/2003,NEW KOWLOON INLAND LOT NO. 6196,JUNCTION OF CORNWALL STREET AND TAT CHEE AVENUE KOWLOON,AUCTION,RESIDENTIAL R3,570,14700,SHAM SHUI PO,15-Apr-02,N.A.
2002/2003,ABERDEEN INLAND LOT NO. 450,47 SHEK PAI WAN ROAD ABERDEEN HONG KONG,AUCTION,RESIDENTIAL / COMMERCIAL,83,675.4,SOUTHERN,10-Sep-02,N.A.
2001/2002,KOWLOON INLAND LOT NO. 11103,HUNG HOM BAY RECLAMATION KOWLOON,AUCTION,COMMERCIAL AND MULTI-STOREY CARPARK<br/>,655,9940,YAU TSIM MONG,16-Oct-01,N.A.
2001/2002,LOT NO. 1184 IN DEMARCATION DISTRICT NO. 217,MAN KEI TOI PAK SHA WAN SAI KUNG,AUCTION,RESIDENTIAL R3,148,17800,SAI KUNG,13-Aug-01,N.A.
2001/2002,KOWLOON INLAND LOT NO. 11110,HUNG HOM BAY RECLAMATION KOWLOON,AUCTION,COMMERCIAL,1090,20364,YAU TSIM MONG,13-Aug-01,N.A.
2001/2002,TAI PO TOWN LOT NO. 168,AREA 11 TAI PO KAU TAI PO NEW TERRITORIES,AUCTION,RESIDENTIAL R3,37,4200,TAI PO,4-Feb-02,N.A.
2001/2002,LOT NO. 2051 IN DEMARCATION DISTRICT NO. 121,OFF PING CHUK LANE PING SHAN YUEN LONG NEW TERRITORIES,AUCTION,RESIDENTIAL R1,62,3754,YUEN LONG,4-Dec-01,N.A.
2001/2002,NEW KOWLOON INLAND LOT NO. 6379,3 CALDECOTT ROAD PIPER'S HILL KOWLOON,AUCTION,RESIDENTIAL R3,170,5872,SHAM SHUI PO,4-Dec-01,N.A.
2001/2002,LOT NO. 348 IN DEMARCATION DISTRICT NO. 252,TAI MONG TSAI SAI KUNG NEW TERRITORIES,AUCTION,RESIDENTIAL R4,23.5,4861,SAI KUNG,16-Oct-01,N.A.
2001/2002,LOT NO. 2052 IN DEMARCATION DISTRICT NO. 121,OFF PING CHUK LANE PING SHAN YUEN LONG,AUCTION,RESIDENTIAL R1,44,2517,YUEN LONG,13-Aug-01,N.A.
2001/2002,SHA TIN TOWN LOT NO. 209,JUNCTION OF LOK HA SQUARE LOK LIN PATH AREA 43 SHA TIN,AUCTION,RESIDENTIAL R3,38.5,2710,SHA TIN,19-Jun-01,N.A.
2001/2002,TUEN MUN TOWN LOT NO. 432,HOI CHU ROAD AREA 16 TUEN MUN NEW TERRITORIES,AUCTION,RESIDENTIAL R1,264,6090,TUEN MUN,4-Feb-02,N.A.
2001/2002,TSING YI TOWN LOT NO. 169,TAM KON SHAN ROAD AREA 9 TSING YI,TENDER,SHIPYARD,1.8,1685,KWAI TSING,27-Jul-01,N.A.
2001/2002,TSING YI TOWN LOT NO. 168,TAM KON SHAN ROAD AREA 9 TSING YI,TENDER,SHIPYARD,5.1,2215,KWAI TSING,27-Jul-01,N.A.
2001/2002,TSUEN WAN TOWN LOT NO. 400,SZE PEI SQUARE TSUEN WAN,AUCTION,COMMERCIAL/RESIDENTIAL,41,389.8,TSUEN WAN,19-Jun-01,N.A.
2001/2002,NEW KOWLOON INLAND LOT NO. 6378,2 & 4 CALDECOTT ROAD PIPER'S HILL KOWLOON,AUCTION,RESIDENTIAL R3,110,3297,SHAM SHUI PO,16-Oct-01,N.A.
2000/2001,TSEUNG KWAN O TOWN LOT NO. 81,AREA 106 TSEUNG KWAN O SAI KUNG NEW TERRITORIES,TENDER,OTHER SPECIFIED USES,18,14600,SAI KUNG,16-Aug-00,N.A.
2000/2001,LOT NO. 14 IN DEMARCATION DISTRICT NO. 231,CHUK KOK SAI KUNG NEW TERRITORIES,AUCTION,RESIDENTIAL R4,21,2790,SAI KUNG,7-Dec-00,N.A.
2000/2001,LOT NO. 1144 IN DEMARCATION DISTRICT NO. 215,TUI MIN HOI SAI KUNG NEW TERRITORIES,AUCTION,RESIDENTIAL R3,73.5,5140,SAI KUNG,19-Feb-01,N.A.
2000/2001,INLAND LOT NO. 8955,SAI WAN HO FERRY CONCOURSE,TENDER,RESIDENTIAL R1,2430,12200,EASTERN,14-Dec-00,N.A.
2000/2001,KOWLOON INLAND LOT NO. 11152,HOI FAI ROAD WEST KOWLOON RECLAMATION KOWLOON,AUCTION,RESIDENTIAL R1,2580,20200,YAU TSIM MONG,7-Dec-00,N.A.
2000/2001,KOWLOON INLAND LOT NO. 11145,JUNCTION OF FARM ROAD AND MA TAU WAI ROAD MA TAU WAI,AUCTION,RESIDENTIAL R1,540,2765,KOWLOON CITY,5-Oct-00,N.A.
2000/2001,KOWLOON INLAND LOT NO. 11118,JUNCTION OF PRINCESS MARGARET ROAD AND WYLIE ROAD KOWLOON,TENDER,RESIDENTIAL R2,2508,36006,YAU TSIM MONG,16-Jun-00,N.A.
2000/2001,KOWLOON INLAND LOT NO. 11122,JUNCTION OF CARMEL VILLAGE STREET AND HAU MAN STREET KOWLOON,AUCTION,RESIDENTIAL R1,251,1420.6,KOWLOON CITY,12-Jun-00,N.A.
2000/2001,KWAI CHUNG TOWN LOT NO. 484,KWAI SHING CIRCUIT KWAI CHUNG,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,106.8,9100,KWAI TSING,29-Apr-00,N.A.
2000/2001,LOT NO. 214 IN DEMARCATION DISTRICT NO. 387,SHAM TSENG TSUEN WAN,AUCTION,RESIDENTIAL R3,240,7845,TSUEN WAN,5-Oct-00,N.A.
2000/2001,NEW KOWLOON INLAND LOT NO. 6280,JUNCTION OF SHEUNG YEE ROAD AND WANG TAI ROAD KOWLOON BAY,TENDER,INDUSTRIAL / OFFICE AND LPG VEHICLE REPAIR WORKSHOP,128.3,5480,KWUN TONG,26-Sep-00,N.A.
2000/2001,LOT NO. 943 IN DEMARCATION DISTRICT NO. 94,BEAS STABLE SHEUNG SHUI NEW TERRITORIES,AUCTION,RESIDENTIAL R4,93,22973,NORTH,12-Jun-00,N.A.
2000/2001,NEW KOWLOON INLAND LOT NO. 6275,JUNCTION OF HING WAH STREET WEST & SHAM SHING ROAD WEST KOWLOON RECLAMATION,AUCTION,RESIDENTIAL R1,1900,16064,SHAM SHUI PO,25-Apr-00,N.A.
2000/2001,SHA TIN TOWN LOT NO. 483,AREA 77 MA ON SHAN SHA TIN NEW TERRITORIES,AUCTION,RESIDENTIAL R2,560,7296,SHA TIN,19-Feb-01,N.A.
2000/2001,RURAL BUILDING LOT NO. 1155,CHUNG HOM KOK HONG KONG,TENDER,EXTERNAL TELECOMMUNICATiONS STATION,40,2257,SOUTHERN,31-Oct-00,N.A.
2000/2001,RURAL BUILDING LOT NO. 1154,CHUNG HOM KOK HONG KONG,TENDER,EXTERNAL TELECOMMUNICATIONS STATION,80,2275,SOUTHERN,31-Oct-00,N.A.
2000/2001,SHA TIN TOWN LOT NO. 481,AREA 77 MA ON SHAN NEW TERRITORIES,AUCTION,RESIDENTIAL R2,865,11380,SHA TIN,29-Aug-00,N.A.
2000/2001,NEW KOWLOON INLAND LOT NO. 6338,HING WAH STREET WEST WEST KOWLOON RECLAMATION KOWLOON,TENDER,MIXED DEVELOPMENT,850,14900,SHAM SHUI PO,19-Jun-00,N.A.
2000/2001,RURAL BUILDING LOT NO. 1143,ADJOINING NOS. 16-18 SOUTH BAY ROAD REPULSE BAY,AUCTION,RESIDENTIAL R3,130,1925.2,SOUTHERN,25-Apr-00,N.A.
2000/2001,TSUEN WAN TOWN LOT NO. 395,AREA 40 ROUTE TWISK TSUEN WAN,AUCTION,RESIDENTIAL R3,835,25630,TSUEN WAN,5-Oct-00,N.A.
2000/2001,TSUEN WAN TOWN LOT NO. 404,AREA 40 ROUTE TWISK TSUEN WAN NEW TERRITORIES,AUCTION,RESIDENTIAL R3,292,6970,TSUEN WAN,29-Aug-00,N.A.
2000/2001,TSING YI TOWN LOT NO. 163,TSING KING ROAD TSING YI NEW TERRITORIES,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,75.79,6043,KWAI TSING,24-Aug-00,N.A.
1999/2000,TUEN MUN TOWN LOT NO. 419,AREA 58 SIU LAM TUEN MUN,AUCTION,RESIDENTIAL R3,385,19318,TUEN MUN,20-Apr-99,N.A.
1999/2000,AP LEI CHAU INLAND LOT NO. 128,AP LEI CHAU DRIVE ABERDEEN,TENDER,MIXED DEVELOPMENT,739.9,9301,SOUTHERN,28-Mar-00,N.A.
1999/2000,KOWLOON INLAND LOT NO. 11076,HUNG HOM BAY RECLAMATION AREA KOWLOON,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,583,27818,KOWLOON CITY,24-Sep-99,N.A.
1999/2000,FANLING SHEUNG SHUI TOWN LOT NO. 195,AREA 19 FANLING,TENDER,COMMERCIAL RESIDENTIAL & GOVERNMENT INSTITUTION OR COMMUNITY,248,12212,NORTH,10-Jun-99,N.A.
1999/2000,INLAND LOT NO. 8921,35 & 37 CLOUD VIEW ROAD,AUCTION,RESIDENTIAL R2,590,2494,EASTERN,20-Apr-99,N.A.
1999/2000,LOT 736 IN DEMARCATION DISTRICT NO. 332,CHEUNG SHA LANTAU ISLAND,AUCTION,RESIDENTIAL R4,17.2,3380,ISLANDS,29-Feb-00,N.A.
1999/2000,NEW KOWLOON INLAND LOT NO. 6267,KING TUNG STREET NGAU CHI WAN,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,238.8,21560,WONG TAI SIN,14-Dec-99,N.A.
1999/2000,KOWLOON INLAND LOT NO. 11107,HOI FAN ROAD WEST KOWLOON RECLAMATION,AUCTION,RESIDENTIAL R1,1340,6943,YAU TSIM MONG,13-Dec-99,N.A.
1999/2000,LOT NO. 1847 IN DEMARCATION DISTRICT CHEUNG CHAU,SAI WAN CHEUNG CHAU,AUCTION,RESIDENTIAL R4,4.5,2130,ISLANDS,4-Aug-99,N.A.
1999/2000,KWAI CHUNG TOWN LOT NO. 480,KWAI LUEN ROAD KWAI CHUNG,AUCTION,RESIDENTIAL R1,470,3746,KWAI TSING,29-Jun-99,N.A.
1999/2000,NEW KOWLOON INLAND LOT NO. 6277,BEACON HILL ROAD KOWLOON TONG,TENDER,RESIDENTIAL R3,3240,41578,KOWLOON CITY,17-Jun-99,N.A.
1999/2000,NEW KOWLOON INLAND LOT NO. 6276,83 BROADCAST DRIVE,AUCTION,RESIDENTIAL R2,515,4272,KOWLOON CITY,20-Apr-99,N.A.
1999/2000,SHAU KEI WAN INLAND LOT NO. 845,YIU HING ROAD SHAUKEIWAN HONG KONG,AUCTION,RESIDENTIAL R1,170,880.8,EASTERN,29-Feb-00,N.A.
1999/2000,RURAL BUILDING LOT NO. 1148,SEVERN ROAD HONG KONG,AUCTION,RESIDENTIAL R3,490,13570,CENTRAL & WESTERN,29-Feb-00,N.A.
1999/2000,RURAL BUILDING LOT NO. 1158,CHUNG HOM KOK HONG KONG,TENDER,EXTERNAL TELECOMMUNICATIONS STATIONS,8,2578,SOUTHERN,18-Jan-00,N.A.
1999/2000,RURAL BUILDING LOT NO. 1142,ADJOINING NO. 14 SOUTH BAY ROAD,AUCTION,RESIDENTIAL R3,151,2267,SOUTHERN,14-Oct-99,N.A.
1999/2000,RURAL BUILDING LOT NO. 1147,No. 99 PEAK ROAD/NO.4 GOUGH HILL PATH THE PEAK,AUCTION,RESIDENTIAL R3,134,2463,CENTRAL & WESTERN,4-Aug-99,N.A.
1999/2000,RURAL BUILDING LOT NO. 1146,NOS. 1-3 HOMESTEAD ROADTHE PEAK,AUCTION,RESIDENTIAL R3,265,2369,CENTRAL & WESTERN,29-Jun-99,N.A.
1999/2000,TIN SHUI WAI TOWN LOT NO. 28,AREA 111 TIN SHUI WAI YUEN LONG,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,404,43705,YUEN LONG,10-Mar-00,N.A.
1999/2000,TAI PO TOWN LOT NO. 165,AREA 38 TAI PO,AUCTION,RESIDENTIAL R3,152,14985,TAI PO,13-Dec-99,N.A.
1999/2000,TIN SHUI WAI TOWN LOT NO. 27,TIN SHUI WAI YUEN LONG,AUCTION,RESIDENTIAL R1,555,14901,YUEN LONG,14-Oct-99,N.A.
1999/2000,TUEN MUN TOWN LOT NO. 408,HANG KWAI STREET AREA 16 TUEN MUN,AUCTION,RESIDENTIAL R1,320,4765,TUEN MUN,4-Aug-99,N.A.
1999/2000,TUEN MUN TOWN LOT NO. 371,CASTLE PEAK ROAD AREA 58 SIU LAM TUEN MUN,AUCTION,RESIDENTIAL R3,330,16469,TUEN MUN,4-Aug-99,N.A.
1999/2000,TAI PO TOWN LOT NO. 167,AREA 12 TAI PO,AUCTION,RESIDENTIAL R3,44,2611,TAI PO,29-Jun-99,N.A.
1998/1999,YUEN LONG TOWN LOT NO. 443,HI YIP STREET TUNG TAU,TENDER,MULTI-STOREY CAR PARK,28.88,3106,YUEN LONG,7-Apr-98,N.A.
1998/1999,FANLING SHEUNG SHUI TOWN LOT NO. 183,SHEK WU HUI SHEUNG SHUI,AUCTION,COMMERCIAL / RESIDENTIAL,330,3068,NORTH,22-Apr-98,N.A.
1998/1999,NEW KOWLOON INLAND LOT NO. 6268,WANG YUEN STREET / WANG TAI ROAD,TENDER,COMMERCIAL,361,5306,KWUN TONG,24-Apr-98,N.A.
1998/1999,SHAU KEI WAN INLAND LOT NO. 843,ALDRICH BAY RECLAMATION,TENDER,RESIDENTIAL R1,1677,7056,EASTERN,22-May-98,N.A.
1998/1999,LOT NO. 1140 IN DEMARCATION DISTRICT NO. 215,CHIU TONG ROAD / FUI YIU LANE,TENDER,MULTI-STOREY CAR PARK,39.5,3163,SAI KUNG,15-May-98,N.A.
1998/1999,NEW KOWLOON INLAND LOT NO. 6204,LAM LOK STREET / SHEUNG YUET ROAD,TENDER,INDUSTRIAL / OFFICE,46.8,1889,KWUN TONG,19-Jun-98,N.A.
1998/1999,TSEUNG KWAN O TOWN LOT NO. 62,AREA 65A TSEUNG KWAN O,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,509.29,25101,SAI KUNG,10-Jul-98,N.A.
1998/1999,NEW KOWLOON INLAND LOT NO. 6270,CHOI HUNG ROAD SAN PO KONG,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,825,35129,WONG TAI SIN,3-Jul-98,N.A.
1998/1999,TSEUNG KWAN O TOWN LOT NO. 67,AREA 106 TSEUNG KWAN O,TENDER,OTHER SPECIFIED USES,78,29800,SAI KUNG,12-Aug-98,N.A.
1998/1999,SHAU KEI WAN INLAND LOT NO. 839,ALDRICH BAY RECLAMATION,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,1099,23414,EASTERN,15-Jul-98,N.A.
1998/1999,NEW KOWLOON INLAND LOT NO. 5927,SHEUNG YEE ROAD,TENDER,INDUSTRIAL / OFFICE,238.8,12594,KWUN TONG,29-May-98,N.A.
1998/1999,KOWLOON INLAND LOT NO. 11108,1 PEKING ROAD,AUCTION,COMMERCIAL,1240,2200,YAU TSIM MONG,22-Apr-98,N.A.
1998/1999,INLAND LOT NO. 8882,LEIGHTON HILL HONG KONG,TENDER,RESIDENTIAL R2,3612,43143,WAN CHAI,17-Apr-98,N.A.
1997/1998,YUEN LONG TOWN LOT NO. 461,TUNG TAU INDUSTRIAL AREA,TENDER,INDUSTRIAL,91,3180,YUEN LONG,10-Jun-97,N.A.
1997/1998,LOT NO. 244 IN DEMARCATION DISTRICT NO. 331,CHEUNG FU STREET CHEUNG SHA,AUCTION,RESIDENTIAL R4,40,2240,ISLANDS,3-Jun-97,N.A.
1997/1998,AP LEI CHAU INLAND LOT NO. 130,HUNG SHING STREET / WAI FUNG STREET,AUCTION,COMMERCIAL / RESIDENTIAL,105,400,SOUTHERN,15-Sep-97,N.A.
1997/1998,SHA TIN TOWN LOT NO. 217,MEI WO CIRCUIT AREA 41A SHA TIN,AUCTION,RESIDENTIAL R4,56,1307,SHA TIN,27-Aug-97,N.A.
1997/1998,LOT NO. 13 IN DEMARCATION DISTRICT NO. 231,CHUK KOK,AUCTION,RESIDENTIAL R4,51,1570,SAI KUNG,15-Sep-97,N.A.
1997/1998,TAI PO TOWN LOT NO. 161,SHUEN WAN,AUCTION,RESIDENTIAL R3,5600,91265,TAI PO,14-Oct-97,N.A.
1997/1998,ABERDEEN INLAND LOT NO. 435,SHUM WAN ROAD (SOUTH),TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,390,15855,SOUTHERN,10-Nov-97,N.A.
1997/1998,TUEN MUN TOWN LOT NO. 407,AREA 16 TUEN MUN NEW TERRITORIES,AUCTION,RESIDENTIAL R1,2900,16587,TUEN MUN,14-Oct-97,N.A.
1997/1998,RURAL BUILDING LOT NO. 1139,4 CAPE DRIVE CHUNG HOM KOK,AUCTION,RESIDENTIAL R3,221,3189,SOUTHERN,19-Nov-97,N.A.
1997/1998,HUNG HOM INLAND LOT NO. 550,BULKELEY STREET HUNG HOM,AUCTION,RESIDENTIAL R1,276,693,KOWLOON CITY,19-Nov-97,N.A.
1997/1998,YUEN LONG TOWN LOT NO. 497,TUNG TAU INDUSTRIAL AREA,TENDER,INDUSTRIAL,15.1,2435,YUEN LONG,1-Dec-97,N.A.
1997/1998,LOT NO. 2058 IN DEMARCATION DISTRICT NO. 121,SHA TSENG ROAD TONG YAN SAN TSUEN,AUCTION,RESIDENTIAL R3,58,1950,YUEN LONG,11-Dec-97,N.A.
1997/1998,TUEN MUN TOWN LOT NO. 409,TSING SIN STREET AREA 37B,AUCTION,RESIDENTIAL R1,250,3875,TUEN MUN,13-Jan-98,N.A.
1997/1998,LOT NO. 1736 IN DEMARCATION DISTRICT NO. 122,PING SHAN LANE,AUCTION,RESIDENTIAL R3,33,2040,YUEN LONG,13-Jan-98,N.A.
1997/1998,SHA TIN TOWN LOT NO. 318,SUI WO ROAD,AUCTION,RESIDENTIAL R4,90,4133,SHA TIN,12-Feb-98,N.A.
1997/1998,SHA TIN TOWN LOT NO. 468,CHIK FU STREET,AUCTION,RESIDENTIAL R1,11.6,88,SHA TIN,12-Feb-98,N.A.
1997/1998,KWAI CHUNG TOWN LOT NO. 479,STONECUTTERS ISLAND,TENDER,OTHER SPECIFIED USES,130,33391,KWAI TSING,16-Feb-98,N.A.
1997/1998,KWAI CHUNG TOWN LOT NO. 481,STONECUTTERS ISLAND,TENDER,OTHER SPECIFIED USES,86.26,33391,KWAI TSING,16-Feb-98,N.A.
1997/1998,SHA TIN TOWN LOT NO. 461,AREA 100 MA ON SHAN,TENDER,HOTEL,120.39,8000,SHA TIN,10-Mar-98,N.A.
1997/1998,RURAL BUILDING LOT NO. 1145,6-14 MOUNT AUSTIN ROAD,AUCTION,RESIDENTIAL R3,920,13328,CENTRAL & WESTERN,24-Mar-98,N.A.
